date,state,notes
2020-06-07,RO,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-07,RR,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-07,RS,
2020-06-07,SC,
2020-06-07,SC,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-07,SE,
2020-06-07,SP,
2020-06-07,SP,
2020-06-07,TO,
2020-06-07,TO,
2020-06-06,AC,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,AC,
2020-06-06,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-06-06,AL,
2020-06-06,AL,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,AM,
2020-06-06,AM,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,AP,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,BA,
2020-06-06,BA,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,CE,
2020-06-06,CE,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,DF,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,DF,"dados de indeterminados\importados retirado da tabela 1, página 2 do boletim"
2020-06-06,ES,
2020-06-06,ES,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,ES,
2020-06-06,GO,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-06-06,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-06-06,GO,
2020-06-06,GO,
2020-06-06,MA,
2020-06-06,MA,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,MG,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,MG,"Houve redução no número de casos nos seguintes municípios:
Pirajuba: de 4 para 3 casos
Sete Lagoas: de 40 para 39 casos
Unaí: de 250 para 231 casos
Visconde do Rio Branco: de 9 para 8 casos"
2020-06-06,MS,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,MS,Dados gerados as 19hs do dia 06/06/2020 e publicados no dia 07/06/2020
2020-06-06,MT,
2020-06-06,MT,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,PA,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,PA,Atualizado em 06/06/2020 às 19:30h
2020-06-06,PB,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,PB,
2020-06-06,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-06,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-06,PE,"Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
https://www.irrd.org/covid-19/"
2020-06-06,PE,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,PI,
2020-06-06,PI,
2020-06-06,PR,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,RJ,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,RJ,
2020-06-06,RO,"Foram confirmados 839 novos casos de Covid-19 em Rondônia, destes, 542 em Porto Velho, 75 em São Miguel do Guaporé, 33 em Ariquemes,  28 em Candeias do Jamari, 21 em Nova-Mamoré, 17 em Guajará-Mirim, 12 em Rolim de Moura, 10 em Jaru, 10 em Machadinho do Oeste, 10 em Ouro Preto do Oeste, nove em Monte Negro, oito em Campo Novo de Rondônia, sete em Itapuã do Oeste, cinco em Alto Paraíso, cinco em Ji-Paraná, cinco em Pimenta Bueno, quatro em Alta Floresta, quatro em Corumbiara, quatro em Vale do Anari, três em Alto Alegre dos Parecis, dois em Buritis,  dois em Colorado do Oeste, dois em Costa Marques, dois em Cujubim,  dois em Mirante da Serra, dois em Nova Brasilândia, dois em Pimenteiras do Oeste, dois em São Francisco do Guaporé, dois em Vilhena, um em Cerejeiras, um em Governador Jorge Teixeira, um em Presidente Médici,  um em Primavera de Rondônia, um em Rio Crespo, um em Santa Luzia, um em Seringueiras, um em Teixeirópolis e um em Vale do Paraíso.
Hoje (4) foram confirmados 15 óbitos por Covid-19 em Rondônia, 14 em Porto Velho, sendo cinco  mulheres (37, 43, 50, 66 e 73 anos) e nove homens (26, 44, 57, 60, 68, 69, 77, 83 e 84 anos de idade) e um homem de 76 anos de Candeias do Jamari."
2020-06-06,RO,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,RS,
2020-06-06,RS,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,SC,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,SC,
2020-06-06,SE,
2020-06-06,SE,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,SP,
2020-06-06,SP,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-06,TO,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-05,AC,
2020-06-05,AC,
2020-06-05,AL,
2020-06-05,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-06-05,AM,
2020-06-05,AM,
2020-06-05,AP,
2020-06-05,BA,
2020-06-05,CE,
2020-06-05,DF,
2020-06-05,ES,
2020-06-05,ES,
2020-06-05,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-06-05,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-06-05,GO,
2020-06-05,GO,
2020-06-05,MA,
2020-06-05,MG,"Houve redução no número de casos nos seguintes municípios:

Buenópolis: de 9 para 8 casos
Esmeraldas: de 19 para 18 casos
Iapu: de 11 para 10 casos
Itamonte: de 47 para 40 casos
Nepomuceno: de 7 para 6
Pirapetinga: de 24 para 23 casos"
2020-06-05,MG,
2020-06-05,MS,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-05,MS,Dados gerados as 19hs do dia 05/06/2020 e publicados no dia 06/06/2020
2020-06-05,MT,"Soma de casos real (3593) difere do apresentado no boletim (3568). Conferidos o números de casos dos municípios e mantido o valor obtido na soma.
O número de casos confirmados segundo o boletim é de 3593 casos porém na notícia da SES-MT o número é de 3568 casos. Foram considerados os dados do boletim - 3593 casos e 91 óbitos."
2020-06-05,PB,
2020-06-05,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-05,PE,"Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais."
2020-06-05,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-05,PI,
2020-06-05,PI,
2020-06-05,RJ,
2020-06-05,RN,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-05,RO,"Foram confirmados 404 novos casos de Covid-19 em Rondônia, destes, 202 são em Porto Velho, 24 em São Miguel do Guaporé, 19 em Ariquemes, 15 em Ji-Paraná, 19 em Guajará-Mirim, seis em Cacoal, 23 em Candeias do Jamari, 11 em Jaru, 18 em Ouro Preto do Oeste, 18 em Vilhena, seis em Rolim de Moura, dois em Buritis, dois em Nova Mamoré, seis em Cujubim, um em Espigão do Oeste, um em Vale do Paraíso, oito em Pimenta Bueno, três em Alto Paraíso, um em Governador Jorge Teixeira, um em Alto Alegre dos Parecis, um em Nova Brasilândia, um em Machadinho do Oeste, seis em Novo Horizonte, um em Itapuã do Oeste, um em Theobroma, dois em Monte Negro, um em Cacaulândia, um em São Francisco do Guaporé, dois em Alta Floresta, um em Ministro Andreazza e um em Costa Marques.
Após investigação epidemiológica foi constatado um registro a mais para o município de Primavera de Rondônia, que possui cinco casos confirmados e não seis. Estatisticamente deve se considerar que há um caso a mais na edição anterior. Os dados já foram ajustados no sistema.
Hoje (5) foram confirmados 19 óbitos por Covid-19 em Rondônia, 16 em Porto Velho, sendo cinco mulheres (duas de 43 anos, 69, 86 e 90 anos) e 11 homens (36, 41, 44, 65, 67, dois de 71 anos, 73, 74 e dois de 83 anos de idade) e duas mulheres (71 e 76 anos) de Guajará-Mirim e uma mulher de 36 anos de Ji-Paraná.
Após investigação epidemiológica foi constatado que um óbito registrado para Porto Velho na edição anterior pertence ao município de Guajará-Mirim. Os dados já foram ajustados no sistema."
2020-06-05,RR,
2020-06-05,RS,
2020-06-05,SC,
2020-06-05,SE,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-05,SE,
2020-06-05,SP,Dados extraídos do github do SEADE.
2020-06-05,SP,
2020-06-05,TO,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-04,AC,"Não foi publicado boletim detalhado com casos e óbitos por município neste dia, lançando os totais."
2020-06-04,AL,
2020-06-04,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-06-04,AM,
2020-06-04,AP,
2020-06-04,AP,
2020-06-04,BA,
2020-06-04,DF,
2020-06-04,ES,
2020-06-04,ES,
2020-06-04,GO,
2020-06-04,GO,
2020-06-04,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-06-04,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-06-04,MA,
2020-06-04,MG,
2020-06-04,MG,
2020-06-04,MS,"Dados gerados às 19hs do dia 04/06/2020 e publicados no dia 05/06/2020
Houve redução não justificada em boletim no número de casos dos seguintes municípios:

Jardim: de 35 para 34 casos
Aparecida do Taboado: de 1 para 0 casos"
2020-06-04,MT,
2020-06-04,PB,
2020-06-04,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-04,PE,"Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais."
2020-06-04,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-04,PI,
2020-06-04,PI,
2020-06-04,PR,"(1) Um caso confirmado na data de 2/6 em Curitiba foi transferido para Almirante Tamandaré.
(2) Um caso confirmado na data de 11/5 em Foz do Iguaçu foi transferido para o Rio de Janeiro/RJ.
(3) Um caso confirmado na data de 1/6 em Cascavel foi transferido para Santa Tereza do Oeste
(4)Dois casos confirmados na data de 1/6 e 3/6 em Corbélia foram transferidos para Cascavel"
2020-06-04,RJ,
2020-06-04,RN,Dados extraídos em 04/06/2020 (SE 20) às 23h
2020-06-04,RO,
2020-06-04,RR,
2020-06-04,RS,
2020-06-04,SC,
2020-06-04,SE,"Exclusão de 3 casos do município de Barra dos Coqueiros por duplicidade;
Exclusão de 1 caso do município de Nossa Senhora das Dores por duplicidade."
2020-06-04,SP,
2020-06-04,SP,
2020-06-03,AC,
2020-06-03,AL,
2020-06-03,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-06-03,AM,
2020-06-03,AP,
2020-06-03,BA,
2020-06-03,CE,
2020-06-03,DF,"dados de casos importados\indeterminados  disponiveis na tabela1, página 1"
2020-06-03,ES,
2020-06-03,ES,
2020-06-03,GO,
2020-06-03,GO,
2020-06-03,GO,
2020-06-03,MA,
2020-06-03,MG,"Houve redução no número de casos no seguintes municípios: 

Mutum: de 47 para 46 casos
Ouro Preto: de 43 para 42 casos
Ubá: de 59 para 58 casos
Vespasiano: de 35 para 30 casos
Visconde de Rio Branco: de 9 para 8 casos

O boletim não informa o motivo dessas alterações."
2020-06-03,MS,"Boletim com dados colhidos no dia 03 até as 19h, mas divulgado no dia 04"
2020-06-03,MT,Errata do boletim de 02/06: 1 caso em duplicidade em Nova Guarita e 1 em Peixoto de Azevedo
2020-06-03,PA,Atualizado em 03/06/2020 às 20:35h
2020-06-03,PA,Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 03/06/2020 às 20:35h
2020-06-03,PB,
2020-06-03,PB,
2020-06-03,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-03,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-03,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-03,PI,
2020-06-03,PI,
2020-06-03,PR,"(1) Um caso confirmado na data de 31/5 em Bocaiúva do Sul foi transferido para Curitiba.
(2) Um caso confirmado na data de 30/5 em Pinhais foi transferido para Colombo.
(3) Um caso confirmado na data de 30/5 em Pinhais foi transferido para Colombo.
(4) Um caso confirmado na data de 30/5 em Pinhais foi transferido para Colombo."
2020-06-03,RJ,
2020-06-03,RN,Dados extraídos em 03/06/2020 (SE 20) às 23h
2020-06-03,RO,"Foram confirmados 237 novos casos de Covid-19 em Rondônia, destes, 63 são em Porto Velho, 41 em São Miguel do Guaporé, 37 em Guajará-Mirim, 35 em Ariquemes, 14 em Ji-Paraná, oito em Pimenta Bueno, sete em Cacoal, sete em Jaru, cinco em Nova Mamoré, quatro em Chupinguaia, quatro em Machadinho do Oeste, quatro em Vilhena, dois em Rolim de Moura, um em Buritis, um em Candeias do Jamari, um em Campo Novo de Rondônia, um em Cujubim, um em Espigão do Oeste e um em Vale do Anari.

Hoje (3) foram confirmados sete óbitos por Covid-19 em Rondônia, seis em Porto Velho, sendo duas mulheres (34 e 73 anos) e quatro homens (46, 54, 51 e 79 anos de idade) e um homem de 24 anos do município de Vilhena.

Também foi lançado um óbito a mais para o município de Porto Velho ocorrido anteriormente, mas que devido a oscilação no sistema de dados não foi lançado na data do ocorrido. No entanto, esse óbito já havia sido informado para o Município de Porto"
2020-06-03,RS,
2020-06-03,SC,Uma morte computada anteriormente para o município de Joinville passou para São Francisco do Sul.
2020-06-03,SE,
2020-06-03,SP,
2020-06-03,SP,Dados extraídos do github do SEADE.
2020-06-03,TO,
2020-06-02,AC,
2020-06-02,AC,
2020-06-02,AL,
2020-06-02,AL,Dois (2) Casos/Óbitos Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-06-02,AM,
2020-06-02,AP,
2020-06-02,BA,
2020-06-02,CE,
2020-06-02,DF,
2020-06-02,ES,
2020-06-02,ES,
2020-06-02,GO,
2020-06-02,GO,
2020-06-02,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-06-02,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-06-02,MA,
2020-06-02,MG,"Houve redução no número de casos no seguintes municípios:

Caxambu: de 10 para 8 casos
São Gonçalo do Rio Abaixo: de 20 para 19

O boletim não informa o motivo das alterações."
2020-06-02,MS,
2020-06-02,MT,
2020-06-02,PA,"Atualizado em 02/06/2020 às 20:08h
Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 02/06/2020 às 20:08h"
2020-06-02,PB,
2020-06-02,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-02,PE,"Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais."
2020-06-02,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-02,PI,
2020-06-02,PI,
2020-06-02,PR,Um caso confirmado na data de 31/5 em Balsa Nova foi transferido para Campo Largo.
2020-06-02,RJ,
2020-06-02,RN,Dados extraídos em 02/06/2020 (SE 20) às 23h
2020-06-02,RO,
2020-06-02,RR,
2020-06-02,RS,
2020-06-02,SC,
2020-06-02,SE,
2020-06-02,SP,Planilha extraída do repositório do SEADE no github.
2020-06-02,SP,
2020-06-02,TO,
2020-06-02,TO,
2020-06-01,AC,
2020-06-01,AC,
2020-06-01,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-06-01,AL,
2020-06-01,AM,
2020-06-01,AP,
2020-06-01,BA,
2020-06-01,CE,
2020-06-01,DF,"dados de importado\indeterminado extraido da tabela 1, página 1 do boletim"
2020-06-01,ES,
2020-06-01,ES,
2020-06-01,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-06-01,GO,
2020-06-01,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-06-01,MA,
2020-06-01,MG,"Houve redução no número de casos nos seguintes municípios, sem que o boletim tenha informado os motivos das alterações:

Caeté: de 11 para 10 casos
Mariana: de 220 para 213 casos
Passos: de 21 para 20 casos
Planura: de 9 para 8 casos
Santo Antônio do Jacinto: de 5 para 4 casos
Várzea da Palma: de 14 para 12 casos"
2020-06-01,MG,
2020-06-01,MS,"Município de Aquidauana não aparece neste boletim, apesar do registro de 1 caso no boletim anterior."
2020-06-01,MT,Duplicidade de casos em Juara (corrigindo os boletins de 30/05 e 31/05
2020-06-01,PA,"Atualizado em 01/06/2020 às 17:53h
Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 01/06/2020 às 17:53h"
2020-06-01,PB,
2020-06-01,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-01,PE,"Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais."
2020-06-01,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-06-01,PI,
2020-06-01,PR,"(1) Um caso confirmado na data de 26/5 em Curitiba foi transferido para São José dos Pinhais.
(2) Um caso confirmado na data de 30/5 em Almirante Tamandaré foi transferido para Icaraíma.
(3) Um caso confirmado na data de 27/5 em Curitiba foi transferido para Bocaiúva do Sul."
2020-06-01,RJ,
2020-06-01,RN,Dados extraídos em 01/06/2020 (SE 20) às 23h
2020-06-01,RR,
2020-06-01,RS,
2020-06-01,SC,
2020-06-01,SE,
2020-06-01,SP,
2020-06-01,SP,
2020-06-01,TO,
2020-05-31,AC,
2020-05-31,AL,
2020-05-31,AL,Dois (2) Casos/Óbitos Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-05-31,AM,
2020-05-31,AM,
2020-05-31,AP,
2020-05-31,AP,
2020-05-31,BA,
2020-05-31,CE,
2020-05-31,DF,dados de importados\indefinidos disponíveis na tabela 1\pagina 1 do boletim
2020-05-31,ES,
2020-05-31,ES,
2020-05-31,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-31,GO,
2020-05-31,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-31,MA,
2020-05-31,MG,"Houve redução no número de casos dos seguintes municípios:

Bocaiúva: de 4 para 3 casos
Iapu: de 8 para 7 casos

O boletim não informa o motivo dessas alterações."
2020-05-31,MS,
2020-05-31,MT,
2020-05-31,MT,
2020-05-31,PA,Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 31/05/2020 às 13:58h
2020-05-31,PB,
2020-05-31,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-31,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-31,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-31,PI,
2020-05-31,PI,
2020-05-31,PR,"(1) Um caso confirmado na data de 29/5 em Terra Boa foi transferido para Jussara.
(2) Um caso confirmado na data de 29/5 em Almirante Tamandaré foi transferido para Quatro Barras.
(3) Um caso confirmado na data de 29/5 em Londrina foi transferido para Ibiporã."
2020-05-31,PR,
2020-05-31,RJ,
2020-05-31,RN,Dados extraídos em 31/05/2020 (SE 20) às 23h
2020-05-31,RO,"Após investigação epidemiológica foi constatado que um caso notificado em Alvorada do Oeste não pertence ao município e sim, a Porto Velho. A correção já foi feita no sistema de dados e, portanto, há um caso a menos no número total informado no boletim da edição anterior."
2020-05-31,RO,"Após investigação epidemiológica foi constatado que um caso notificado em Alvorada do Oeste não pertence ao município e sim, a Porto Velho. A correção já foi feita no sistema de dados e, portanto, há um caso a menos no número total informado no boletim da edição anterior."
2020-05-31,RR,
2020-05-31,RR,
2020-05-31,RS,
2020-05-31,SC,
2020-05-31,SE,"Exclusão de uma duplicidade do município de Boquim;
Exclusão de uma duplicidade do município de Pacatuba;"
2020-05-31,SP,
2020-05-31,SP,
2020-05-31,SP,
2020-05-31,TO,
2020-05-31,TO,
2020-05-30,AC,
2020-05-30,AL,
2020-05-30,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-05-30,AM,
2020-05-30,AP,
2020-05-30,AP,
2020-05-30,BA,
2020-05-30,CE,
2020-05-30,DF,"dados de importado\indeterminados disponíveis na tabela 1, página do boletim"
2020-05-30,ES,
2020-05-30,ES,
2020-05-30,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-30,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-30,GO,
2020-05-30,MA,
2020-05-30,MG,
2020-05-30,MG,"Redução no número de casos nos seguintes municípios:

Florestal: de 2 para 1 caso
Nova Lima: de 155 para 154"
2020-05-30,MS,"Houve redução no número de casos nos seguintes municípios:

Fátima do Sul: de 66 para 65 casos
São Gabriel do Oeste: de 7 para 6 casos

O boletim não informa os motivos das alterações.
Dados coletados até as 19h do dia 30, publicados dia 31."
2020-05-30,MT,"Planilha foi atualizada em 31/05 por errata publicada no boletim 84, informando ausência de 1 caso em Campos de Júlio e 1 caso em Colniza."
2020-05-30,PA,"Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 30/05/2020 às 20:47h
Atualizado em 30/05/2020 às 20:47h"
2020-05-30,PB,
2020-05-30,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-30,PE,"Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais."
2020-05-30,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-30,PI,
2020-05-30,PI,
2020-05-30,PR,"(1) Um caso confirmado na data de 09/5 em Cascavel foi transferido para Gaspar/SC.
(2) Um caso confirmado na data de 24/5 em Cascavel foi excluído por duplicidade de notificação.
(3) Um caso confirmado na data de 26/5 em Santo Inácio foi transferido para Cascavel.
(4) Um caso confirmado na data de 26/5 em Saudade do Iguaçu foi transferido para Coronel Domingos Soares."
2020-05-30,RJ,
2020-05-30,RO,
2020-05-30,RO,
2020-05-30,RR,
2020-05-30,RR,
2020-05-30,RS,
2020-05-30,RS,
2020-05-30,SC,
2020-05-30,SE,
2020-05-30,SP,
2020-05-30,TO,
2020-05-30,TO,
2020-05-29,AC,
2020-05-29,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-05-29,AL,
2020-05-29,AM,
2020-05-29,AP,
2020-05-29,BA,
2020-05-29,BA,
2020-05-29,CE,
2020-05-29,DF,
2020-05-29,ES,
2020-05-29,ES,
2020-05-29,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-29,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-29,GO,
2020-05-29,MA,
2020-05-29,MG,"Ocorreu redução de casos nos seguintes municípios:

Brumadinho: de 17 para 16
Lagoa Formosa: de 2 para 1
Lima Duarte: de 17 para 16
Mariana: de 142 para 141
Rio Pomba: de 5 para 4"
2020-05-29,MS,"Boletim com dados gerados no dia 29 até as 19h, publicado dia 30"
2020-05-29,MT,
2020-05-29,PA,Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 29/05/2020 às 19:06h
2020-05-29,PA,
2020-05-29,PB,
2020-05-29,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-29,PE,"Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais."
2020-05-29,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-29,PI,
2020-05-29,PI,
